,post,date,user,vote,image
0,               Good air quality is promised tonight in #lublin (͡ ° ʖ̯ ͡ °) #smog #power air #airflow . . . click to expand the picture. . source: 1547131732435.png   ,2019-01-10 15:49:57,arturro94,0,
1,               #zdrowie #smog #polska #przedtrze #gruparatowanych level #ahe source: PicsArt_12-19-11.34.11.jpg   +: lubie-cheesecake  ,2019-01-10 13:06:21,FiligranowyGucio,1,
2,"               Has anyone got the opinion that a runny nose is healthy for smog? My parents told me from an early age that if you have a cold, the impurities are not that bad. Sometimes, especially when they heard that the standards are to be exceeded by several hundred percent, at a negative temperature, they told me to go outside in my pants, to catch a colder and smog and pollution so bad. I even got pneumonia once, but it's not because of it.  # asking # asking for #smog show whole   ",2019-01-10 10:47:01,Reevhar,0,
3,               Also this one #krakow #smog #janusze . . . click to expand the picture. . source: 1547107583570.jpg   ,2019-01-10 09:07:08,trevorphilip,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_KQzd5T0aIFS9o8Z0kqb3BtT274cnvL9Z,w400.jpg""/>"
4,"               Did anyone get fucked in #krakow? My purifier barely manages (͡ ° ʖ̯ ͡ °) # you need #krakowpopierdolilo #smog source: Screenshot_20190110-013246_Airly.jpg   +: masieg, ayanami +14 others  ",2019-01-10 01:33:49,powaznyczlowiek,16,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_S4BbLf58LGblTTqHJJ72XcvL5ZCafMgl,w400.jpg""/>"
5,"               Also no (͡ ° ʖ̯ ͡ °) #katowice #smog . . . click to expand the picture. . source: 1547072514478.tajchert.canary.png   +: koxok, slavas +5 others  ",2019-01-09 23:22:07,Nikic21,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_wgab2DHo0UaYlpTzU6GtVaPNbOvSI7G1,w400.jpg""/>"
6,"               Somsiady have drunk so much that the walk is no pleasure (͡ ° ʖ̯ ͡ °)  #pokazpsa #idspake #smog source: IMG_20190109_211129.jpg   +: wpiotr2221, zarkowski +3 others  ",2019-01-09 22:35:02,Migajaca_dioda,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_uxzq9pMHWTh0j0Npt1bvVz6DkzasBmaX,w400.jpg""/>"
7,"  Smogowe świry, as I work on a construction site near #krakow and spend a lot of time outside I would like to buy some anti-smog mask and here are my two questions: 1. By default, do these masks make sense? If so, what would, say, 200 zlotys be the best for me? I do not want a one-off. 2. Is it possible to speak well in these masks? However, it is an important element of work at the construction site. #smog #kiciochpyta #maski show the whole thing   ",2019-01-09 12:34:35,Skyler,0,
8,               Once a waste landfill site in Pyszcza is lit. The guard reaches the place. Is it possible to do anything about these strange fires? http://www.wykop.pl/link/4738183/piaty-pozar-tego-samego-skladowiska-odpadow-pyszaca-k-sremu/ #srem #pozar #skladowisko #przypadek #ekonomia #ochronasrodowiska #wielkopolska #smog show whole   +: alyaoo  ,2019-01-09 07:43:19,dasistfubar,1,
9,"               All measurement points in #warszawa and the surrounding area, not available? #smog #air # air contamination source: embed.jpg   +: ThickRateKot, moderacjaamyslisezeco +9 others  ",2019-01-09 06:33:47,yakubo,11,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_DwmRzJaxl9ncLpRtS7SaOXEC970qoCJZ,w400.jpg""/>"
10,"               Mireczki, what to do, who to call someone to feel that someone smokes something like plastic. Because, waiting today at the stop in #szczecin, one of the small companies from her small chimney was smelling smoke with the smell of a plastic #smog #zalesie #kiciochpyta   +: mboss1111, +1 +1 other  ",2019-01-08 19:52:18,urodzajnaziemia,3,
11,"               I need some small advice. For some time I have been buying an air purifier for 20m ^ 2 room. Smog and the whole subject is not important to me, it is important to limit the amount of dust that, because of the place of residence IS EVERYWHERE, 12h after the abrasion, I have a dust layer. While browsing the internet, I unfortunately have the impression that the subject of purifiers is terribly infiltrated by the whisper marketing of companies, hence I ask whether a mira bought a purifier for a similar purpose and did it achieve good results? Can someone recommend a model? #pair air cleaner #smog #air show the whole   ",2019-01-08 18:11:25,baran_ofiarny,0,
12,"               401212,24 - 10,14 = 401202,10  Today, unfortunately, again briefly - I stupidly overslept stupidly ... Only at the second nap, slightly cursing in my mind ""I will not get up so early in the weekend"" I realized that cholera was just Tuesday xD and I flew out of bed. Quick dressing, sierściuchando and at 5:20 I was ready to run.  Yesterday I mentioned that the weather is kind and the mask is fallow since the beginning of the year ... Well - it was, passed away (· へ ·) because the smog so thickened that it was possible to resist shovel for snow ... Company, masks put on! If you omit the issue of somehow and air, it is also very nice - no rainfall, slight breeze, -6 ° C ... everything is perfect if you skip the late season, through which I had to shorten the course (͡ ° ʖ̯ ͡ °)  I flew a combination route with a few basic ones - all in all it's fun to run a lot in one place, because I can quickly plan the whole plan and complete the planned distance to a few hundred meters (͡ ° ͜ʖ ͡ °). It was worse than yesterday, but I tried not to let go and use every hill to catch up the pace - and even though there was more uphill than yesterday, I went down to 4:59 min / km, which did not even bother me (͡º ͜ʖ͡º)  Tomorrow morning promises to be an uninteresting arrangement - around zero, icing, potential snow with rain ... How will it really nasty se just let go. On the Thursday morning forecasts are much more sympathetic (ʘ‿ʘ) And now even the smog has forgotten ... nothing, we will see.  In the Christmas bonus #pokazmorde - I love to arouse slight anxiety in the morning (͡º ͜ʖ͡º)  Nice!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Akuku69, Sodium benzoate +17 others  ",2019-01-08 17:14:33,enron,19,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_OA1a71yfJm0ZRsi5hje7VObfPcJGm4i3,w400.jpg""/>"
