,post,date,user,vote,image
0,               Is there any greater difference between these masks? I need a bike altogether.  https://allegro.pl/maska-antysmogowa-rwb-mask-10-filtrow-zestaw-i7122995674.html https://rzmask.pl/maski-antysmogowe/11-maska-przeciwpylowa-rzmask-black.html https://dragonmask.pl/maski-antysmogowe-sport/maska-dragon-sport-ii-black?gclid=EAIaIQobChMIkPrAlraN3wIVA_lRCh3InApeEAQYASABEgKHhPD_BwE  Maybe some other one?  Because if there is no difference then why overpay.  # poll #smog #purchases #allegro show the whole thing   ,2018-12-07 10:43:56,szoch6,0,
1,"               I looked at you through the glass, I knocked on you through the glass I wrote you innocent DMs, it's not yet On the eyes, I can barely see, there is this smog everywhere in Warsaw Do you remember, we wanted to be alone, and in the city it is everywhere crowded   +: Aedemkun  ",2018-12-06 18:38:29,anonimek123456,1,
2,"               #smog # ice # lodzkurwa . . . click to expand the picture. . source: Screenshot_2018-12-06-14-18-46-662_en.tajchert.canary.png   +: Zakimar, slavas  ",2018-12-06 17:23:33,Immun,2,
3,               I recommend: https://www.ico2dalej.pl #smog   ,2018-12-06 16:43:39,DonLino,0,
4,"               And in #krosno we are fighting this way with #smog. : D The City Hall (as in previous years) placed on the Market Square (and probably also in other places in the city) coke boxes that were fired in a VERY inexpert. Well, we have our local #chyt climatic - portable smog generators: D We burn surplus #well #ecology Photo: Król Krosna na fb show the whole Source: 47576216_2042590465784782_1874957330139840512_n.jpg   +: Sciernisco, viggo_nt +15 others  ",2018-12-06 15:23:40,pankrosnizm,17,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_AS6uMrTBuSh0KMX0e9TmEV0k517Pn5Ra,w400.jpg""/>"
5,"               #pair cleaner #smog  Does anyone of you use the Klarta purifier? Specifically, the Klarta Forste model 2. I noticed that when I turn off the backlight (hold down the ""speed"") the purifier works at idle speed regardless of the degree of ""dirt"" of the air. When the backlight is turned on, the PM2.5 indicator can indicate over 16 despite the fact that it has just been running at low speed (from 16 the higher speeds are activated). Is this the problem of only my copy or is it just such a ""bug"" in the device software? show the whole   ",2018-12-06 13:53:40,EmTeKa,0,
6,"               #smog is a spiseg, and the air is clean and healthy  #bekazodermany #facebookcontent source: dzban.jpg   +: Czaajnik, tomosano +3 others  ",2018-12-06 13:25:01,dojcz_szpreche_nicht,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_McFB1MRfTWC70VqQsOHTzU0TROB5uTk5,w400.jpg""/>"
7,"               Mirka, Has anyone examined what in Poland is responsible for the majority of emissions of all these harmful substances into the air? Well, damn, our neighbors also have car traffic and also probably have citizens who smoke with coal or trash, and their standards are not exceeded 10 times. What's wrong with this puzzle?  #flow #smog   +: slavas  ",2018-12-06 10:17:31,fra234,1,
8,"               Damn it yesterday, I left yesterday for a while, and smog that it would be a bite. Just a gesture, stinking fog. It seems to me that once there was no such thing, and winters were 10 times worse ... I do not know if people do not see it? I opened the window and the air was so sappy that I started to choke ... and the row of coal and coal I want to wind down the windmills because x people disturb noise ... Are not these old PiSU grandparents breathing in this crap? Or do not it connect with the air? #rozominy #powietrze #polska #ekologia #smog show the whole   +: Azulana, Bodhisattwa_Dimensions +2 others  ",2018-12-06 09:18:00,Bellie,4,
9,"               DAY 91/100  A guy in the backseat of a moving car wakes up. He looks at the driver's seat, and there's a big, packed type with red skin and horns on his head. - What's happening? Where am I?! - the driver asks. - You died. I am a devil and I bring you wherever you belong. The guy looks out the window and pale. - How horrible, ugly here ... and so gray, depressing. - That's right - says the devil. ""These ruins are ruined, just like after the ruin. - Yes. - And this smoke, smog ... how it stinks, there is nothing to breathe! - It is true. - This hell is terrible! the frightened passenger calls.  show spoiler - What a hell? - the devil is surprised - we have not left Krakow yet.   #super # 100dischucharow show the whole   +: ChassisBiloZle, karolziom22 +1423 others  ",2018-12-06 07:26:28,k...............k,1425,
10,  Smog doomed Smo-smo-smog dojen #Cracow   +: I feel ... Dysonance  ,2018-12-05 23:56:19,Sepang,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_2udgVdjYLxf0TcR72hnk9rjUEzLeokjb,w400.jpg""/>"
11,"               :(  #otwock #polska #smog #air pollution #cotusieproperty . . . click to expand the picture. . source: 1544049682010.png   +: slavas, martinlubpl +2 others  ",2018-12-05 23:41:26,Encepence2,4,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_PcsEFn3s8cyZJ0P9tsimlxYxP8dY1flM,w400.jpg""/>"
12,"               In reference to the findings from the main and ridiculous mandate for burning old furniture, a question arose. If smoking is a crime / offense, why can not it be reported on the National Safety Threat Map? (link) Maybe some #kopkopefekt would force changes and adding the possibility of reporting garbage incineration and air pollution?  #smog #ecologia #ochronasrodowiska #zanieczyszczeniepowietrza #policja #kiciochpyta show whole   +: Snotty, Szakal32 +2 others  ",2018-12-05 23:34:33,maciejunio,4,
13,"               Smoke is hanging in the air ... Minutes outside and in the throat bites like I was half a meter from the fire. Eh ... (͡ ° ʖ̯ ͡ °)  #smog #tychy #gorzkiezale   +: martinlubpl, kupczyk +4 others  ",2018-12-05 22:53:51,zagu,6,
14,"               Rybnik is always cool #smog source: screenshotscdn.firefoxusercontent.com   +: biabel, sylwke3100 +3 others  ",2018-12-05 22:46:54,plusbear,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_TwKSQp8nvTzblhAyHV8fM2Vf2UChS6CP,w400.jpg""/>"
