,post,date,user,vote,image
0,"               #swestwesterzwykopem jeb jeb But they are shooting poorly this year.  Moment moment where militia drones that fireworks poison the air and make smog? #Poland  #filozofia going further or in the future, fireworks will be banned. And there will only be a show of drones from the hmm drones (✌ ゚ ∀ ゚) ☞   +: bletoja, Szwabka  ",2018-12-31 21:04:43,NiePasek,2,
1,"               Who would you like to report to your neighbor who notoriously and maliciously smokes rubbish from a very low chimney day (carries various tires, plastics from his work), and that's all that goes to my house and the whole property? The thing is happening in a village where there is no municipal guard. Paying attention after kindness does not help. Fire brigade, commune office, or any other ideas? #smog #quest   +: kantek007, StvStv +2 others  ",2018-12-31 13:19:45,michal939,4,
2,"               How not to smog from summer barbecues it's from fireworks (͡ ° ͜ʖ ͡ °) #Wroclaw source: PNG Capture   +: Zielony_Pio, Soul_Heest_Chaos +1 other  ",2018-12-31 10:05:12,mroz3,3,
3,"    The reasons for my illness are unknown.   They can be: fast continental change, poisoning by hooligans, smog in Cracow or consumption of a large amount of traditional drink from Poland  tańcze ze śmiechu po suficie xDDD  #wislakrakow            +: Rapepo, zaltar +7 innych   ",2018-12-30 22:40:22,SolarisYob,9,
4,"               402911,37 - 15,39 = 40,2895,98  It looks like it's time to finish the running year ... Tomorrow the weather is rather under the dog and I think I will keep my strength for the new year, besides why annoy my wife on New Year's Eve? (͡º ͜ʖ͡º)  I was supposed to run yesterday, but when I took out my nose from the garage, the delicate cabbage turned into a regular downpour and I decided that I did not care so much, because the forecasts for the next day were better.  Today I overslept a bit - I was going to start at 6 o'clock, still before dawn ... but how to after the cinema (Green Book - DIVINE FILM, I recommend) goes to zapieksy in a roundabout, returns home at midnight and takes away for mulled wine ... this getting up before 6 medium comes out ¯ \ _ (ツ) _ / ¯ So I did not start until 7:45, just after the sunrise, which - surprisingly - was even visible for a moment. After this moment, the sky became gray again and it remained so until the end of the race. Fortunately, the forecasts came true perfectly - 2 ° C above zero, strong wind and heavily reduced smog, no rain. Only somehow there was a lack of enthusiasm ... but since I was already outside it was necessary to use, I chose the route 14k with an additional kilometer tongue (͡ ° ͜ʖ ͡ °)  Again the start was bad - so weak that I almost decided to calm the trot ... but some hope came back on the third kilometer, I accelerated from the hill and - to my own surprise - not only kept the pace, but also did not let me overcome the hill and I slowed only slightly at the run. Then one more flattening, sprinting down ... and suddenly there was hope of breaking 5:00 / km! Nothing but finger injury (I still feel this navicular in some shoes) already approaching 5:00 was a success ... and it succeeded - nice accent at the end of the year, 4:58 min / km ᕙ (⇀‸↼ "" ) ᕗ  The year was successful, for the second year in a row exceeded 3000 km, the pace may not be any killing but bearable ... I wish you Mirki and Mirabelki all the best in the coming year! Good luck running and more! (.◕‿‿◕).  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Akuku69, randall +17 others  ",2018-12-30 21:37:31,enron,19,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_j2qGw396zCFn2zK3hlfen6lLRhXX0v2Y,w400.jpg""/>"
5,"               And that's how the contact with the Krakow smog ends. Do you see why you've caused Krakusia !? Shame on xDDDDDDDDD #wislakrakow #krakow #smog   +: OPerator_Taczki_, Rapepo +2 others  ",2018-12-30 20:05:48,BlackHawk144,4,
6,"               == ➡️ Air Cleaners at GearBest ⬅️ ==  Hit or putty? What are your experiences with Air Cleaners from GearBest, brands such as Alfawise or Xiaomi? Does it actually work or not? #smog undoubtedly rushes into Polish homes with the power of roiled furniture plywood, but do these devices work? If you have a favorite equipment in this category, be sure to write which devices, according to you, work best!  #gearbest #chinskiecuda #dom show the whole   +: Freakz, Chory_Wegorz  ",2018-12-30 08:12:42,GearBest_Polska,2,
7,"               Beautiful winter in New York, and you probably still smog in Poland hahaha do not even regret me.  #maxpayne #gry #staregry #nowyjork source: i.imgur.com   +: Rapepo, repiv +18 others  ",2018-12-29 23:51:53,Papasanbaba,20,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_iRDF9B9lhLJ7rpUqPZwWKTl2dYKFMV8T,w400.jpg""/>"
8,"               On #tvn a document produced in Poland about Poland, ""smog wars"" - in Warsaw more cars per inhabitant than in Berlin - because in our country the poor mental car is still a status - and the metro in Berlin has seen? Because it is surprising that people have cars as communication is from the ass #warszawa #smog   +: S_____, lubie-cheesecake +4 others  ",2018-12-29 20:58:13,Fugi88888,6,
9,"               Hi, below in the #lowcychin tag, I present interesting coupons and promotions for #gearbest and #banggood stores ---------- For more interesting coupons and promotions, visit the LowcyChin.pl website ----------------------- Click HERE to go to all exclusive coupons. -----------------------  ------------------ Gearbest: ------------------  1.Gamepad for PUBG Price with shipping: $ 0.69 / ~ 2.50 PLN  2. QI wireless charger Price with shipping: $ 1.99 / ~ PLN 7.50  3. L4 Super-aural Bluetooth headphones Price with shipping: $ 2.88 / ~ PLN 11  4. A light bulb imitating fire Utorch E27 LED Flame Price with shipping: $ 3.99 / ~ PLN 15  5. 8.5-inch electronic notebook Price with shipping: $ 4.29 / ~ PLN 16  6. Thermometer Xiaomi MMC - W201 Price with shipping: $ 4.73 / ~ 18 PLN  7. Xiaomi Piston Fresh Version headphones Price with shipping: $ 5.76 / ~ PLN 21  8. Quelim camera SQ11 Price with shipping: $ 8.13 / ~ PLN 30  9. Gustala Clip Tray EPS368T Price with shipping: $ 8.99 / ~ 33 PLN  10. Convoy S2 + LED Price with shipping: $ 10.37 / ~ 39 PLN  11. Portable GameBoy type console Price with shipping: $ 12.99 / ~ PLN 49  12. The zanflare F1 USB Rechargeable 4500-5000K Price with shipping: $ 12.99 / ~ PLN 49  13. Laser 40m KXL - E40 Price with shipping: $ 15.99 / ~ PLN 60  14. Gamepad controller for iPEGA PG - 9087 Price with shipping: $ 16.99 / ~ 63 PLN  15. Sonic speaker Alfawise S100 Price with shipping: $ 17.99 / ~ PLN 67  16.Smartwatch Lenovo Watch 9 Price with shipping from Poland: $ 21.89 / ~ PLN 82  17. QCY T1C bluetooth headphones Price with shipping: $ 30.19 / ~ PLN 113  18. Yeelight YLFW01YL from Poland Price with shipping from Poland: $ 35.89 / ~ 135 PLN  19. Alfawise P1 air cleaner from Poland Price with shipping from Poland: $ 42.99 / ~ 161 PLN  20.Xiaomi Walks Handheld Gimbal Price with shipping: $ 91.99 / ~ 345 PLN  21.Xiaomi Redmi 6A 2 / 32GB Price with Priority Line shipment: $ 106.10 / ~ PLN 399  22. Chuwi Hi9 Pro tablet Price with shipping: $ 134.99 / ~ PLN 507  23.Xiaomi Redmi Note 5 4 / 64GB - Rose Gold Price with Priority Line shipment: $ 149.97 / ~ 563 PLN  24 Anet A6 3D Printer from Poland Price with shipping from Poland: $ 155.99 / ~ 587 PLN  25.The Xiaomi Yeelight JIAOYUE YLXD02YL ceiling lamp Price with shipping from Poland: $ 149.99 / ~ 561 PLN  26. Chuwi Hi9 Air tablet Price with Priority Line shipment: $ 158.99 / ~ 597 PLN  27. ILIFE V7s Plus vacuum cleaner Price with shipping from the Czech Republic: $ 166.87 / ~ 627 PLN  28. Nokia X6 4 / 64GB Price with Priority Line shipment: $ 179.99 / ~ 678 PLN  29.AIWO 737A1 Laptop Price with Priority Line shipment: $ 185.99 / ~ 699 PLN  30.AIWO 737A2 Laptop Price with Priority Line shipment: $ 189.47 / ~ 712 PLN  31.Xiaomi Mi Note 3 6 / 128GB Price with Priority Line shipment: $ 207.99 / ~ 781 PLN  32.Chuwi Lapbook SE Laptop Price with Priority Line shipment: $ 244.43 / ~ 915 PLN  33.Xiaomi Mi 8 Lite 6 / 128GB Price with Priority Line shipment: $ 259.99 / ~ 977 PLN  34.Tablet Xiaomi Mi Pad 4 Plus 4 / 64GB Price with Priority Line shipment: $ 269.99 / ~ PLN 1014  35.Xiaomi Pocophone F1 6 / 64GB Price with Priority Line shipment: $ 287.22 / ~ 1081 PLN  36.Xiaomi Pocophone F1 6 / 128GB Price with Priority Line shipment: $ 317.08 / ~ PLN 1191  37. Scooter Xiaomi M365 Europe Version Price with Priority Line shipment: $ 369.99 / ~ PLN 1389  38. Ninebot Segway ES2 from Poland Price with shipping from Poland: $ 390.39 / ~ PLN 1468  39.Xiaomi Mi 8 Pro 8 / 128GB Price with Priority Line shipment: $ 497.19 / ~ 1885 PLN  40.Xiaomi Mi Gaming Laptop Price with Priority Line shipment: $ 1298.89 / ~ 4881 PLN  ------------------ Banggood: ------------------  1. Powerbank BlitzWolf BW-P6 10000mAh Price with shipping: $ 15.66 / ~ 58 PLN  ----------------------------------  #lowcychin <==== Follow If you want to be called, write in a comment ==> @lowcychin wants to be called I also invite you to the telegram channel -------> https://t.me/LowcyChinpl  -----------------------------------  #blitzwolf #powerbank #xiaomi #gaminglaptop #laptop #laptop # m365 # es2 #ninebot #segway #coyageelectric #telephones #pocophone # mi8lite #Tablets #tablet #chuwi #aiwo #ilife #odkurzacze #nokia # druk3d # aneta6 # redminote5 # redmi6a #superair #smog #sgs #gimbal #smartwatch #tas # # # # # # # # # # # #  show spoiler Direct links:   https://www.banggood.com/Qualcomm-Certified-BlitzWolf-BW-P6-10000mAh-18W-QC3_0-Dual-USB-Polymer-Fast-Charging-Power-Bank-p-1262015.html?   https://www.gearbest.com/table-lamps/pp_946803.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009301085230.html?wid=1349303   https://www.gearbest.com/headsets/pp_009659319478.html?wid=1433363   https://www.gearbest.com/hair-care/pp_009116938190.html?wid=1433363   https://www.gearbest.com/cell-phones/pp_009601631974.html   https://www.gearbest.com/led-light-bulbs/pp_1381287.html?wid=1433363   https://www.gearbest.com/smart-watches/pp_1835306.html?wid=1101231   https://www.gearbest.com/robot-vacuum/pp_1649341.html?wid=1640583   https://www.gearbest.com/gimbal/pp_009933538055.html?wid=1433363   https://www.gearbest.com/other-educational-toys/pp_536404.html?wid=1433363   https://www.gearbest.com/laptops/pp_009863355765.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009355391054.html?wid=1349303   https://www.gearbest.com/earbud-headphones/pp_603274.html   https://www.gearbest.com/laptops/pp_009486918418.html?wid=1433363   https://www.gearbest.com/laptops/pp_009505442054.html?wid=1433363   https://www.gearbest.com/phone-call-tablets/pp_009714655696.html?wid=1433363   https://www.gearbest.com/3d-printers-3d-printer-kits/pp_428456.html?wid=1101231   https://www.gearbest.com/led-flashlights/pp_44144.html   https://www.gearbest.com/tooth-care/pp_979020.html?wid=1433363   https://www.gearbest.com/car-dvr/pp_626563.html   https://www.gearbest.com/chargers-cables/pp_1523112.html?wid=1433363   https://www.gearbest.com/flush-ceiling-lights/pp_1119115.html?wid=1101231   https://www.gearbest.com/game-accessories/pp_1715429.html?wid=1433363   https://www.gearbest.com/game-controllers/pp_1853922.html?wid=1433363   https://www.gearbest.com/laptops/pp_009234299592.html?wid=1433363   https://www.gearbest.com/tooth-care/pp_009364641913.html?wid=1433363   https://www.gearbest.com/cell-phones/pp_009848472285.html?wid=1349303   https://www.gearbest.com/phone-call-tablets/pp_009177959044.html?wid=1433363   https://www.gearbest.com/kick-scooter/pp_009853851321.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009492488405.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009458338580.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009967933269.html?wid=1349303   https://www.gearbest.com/air-purifier/pp_009648919383.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009787976351.html?wid=1349303   https://www.gearbest.com/headsets/pp_009655259541.html?wid=1433363   https://www.gearbest.com/laser-rangefinder-electronic-distance-meter/pp_366164.html   https://www.gearbest.com/led-flashlights/pp_009144231312.html?wid=1214279   https://www.gearbest.com/phone-call-tablets/pp_009151936103.html?wid=1349303   https://www.gearbest.com/handheld-games/pp_009837259632.html?wid=1433363   https://www.gearbest.com/thermometers/pp_1707067.html?wid=1433363  show the whole . . . click to expand the picture. . source: Vouchers and promotions LowcyChin.pl dated 29/12/2018.png   +: caviar2007  ",2018-12-29 19:57:37,LowcyChin,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_MiXK0MCTyhpWLE2SZmLOoSiAqWBm06h2,w400.jpg""/>"
