,post,date,user,vote,image
0,"               I AM EVERYWHERE, THERE IS A THERMOMODERNIZATION PROGRAM, as everybody else, and insulate styrofoam with houses during refurbishments. Let them think more about the availability of infrastructure, so that you do not have to kick with coal - to start with, expanding the gas and city network from which blocks in cities are heated, or cheap electricity / oil for heating purposes.  Such problems are primarily a matter of infrastructure and not giving away money, as it will be an infra-red for many people to give up because it is better to have maintenance-free heating or hot water. After all, they suggest that people, if they have insulated houses, will be less warm? Free jokes - they will be smoking the same because most of them can not smoke in C.O.  #smog #policy #heating #ue #bekapisis show the whole   +: jaqqu7, benzdriver +3 others  ",2018-02-22 12:23:13,MarianoaItaliano,5,
1,"               We have been coping with coal since the beginning of EU membership and only now are they reminded that we are breaking the law? xD It's good that 10-15 years ago there were no air sensors because I think the scale would go out.  By the way - I would prefer that these alleged 4 billion penalties went into heating infrastructure, a larger percentage of individual connections to the municipal heating network and the possibility of connecting to the gas network because this is fraught even in cities. I do not know about you, but I would rather pay a little more to press the button and have hot and warm water in the tap - without smoke, without guarding the stove, without throwing ash.  #smog #se #heating #poland show the whole source: 20180222_104736.jpg   +: D ....... k, porBorewicz07 +16 others  ",2018-02-22 11:49:38,MarianoaItaliano,18,
2,"               #trybunalesprawies/ European Union said that Poland violated EU law in the field of ambient air quality. #smog fuck what a paranoia. Following this trail, we will soon pay for unpolescious days during the calendar year and for the amount of rainfall not counting the consumption of oxygen and the ozone hole.   +: Tenebros, Cronox  ",2018-02-22 11:33:41,g500,2,
3,"               Does only I have the impression that people who smoke this shit in the ovens are people closer to 60 who remember the PRL? #smog   +: kabelodnet, slavas +1 other  ",2018-02-22 11:17:54,Nova24,3,
4,"               Poland broke the EU regulations on air quality standards - the Court of Justice of the EU said on Thursday. Why did the authorities never do anything about it, just wash their hands like Pilate? Excavation: https://www.wykop.pl/link/4177777/polska-zaplaci-za-smog-jest-wyrok-unijnego-trybunalu  #polithics #smog #neuropa show the whole thing source: pbs.twimg.com   +: terion, chanelzeg +30 others  ",2018-02-22 11:03:10,RolandoMaran,32,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_bjEMCWmPyECvafb5ae6ktk9uJUEeQcx6,w400.jpg""/>"
5,               #smog #glupevykopowezabawy What city is this? source: fromapp.jpg   +: Cronox  ,2018-02-22 09:47:28,Pliseq,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_4YxbKZo7b7Bh6lEknj3B1miTAa0AeMuT,w400.jpg""/>"
6,"               A study in South Korea showed a relationship between long-term exposure to smog and an increase in suicide rates link  #smog #amobojstwo #ciebki #koreaporzowa show the whole thing   +: slavas, urs6 +1 different  ",2018-02-22 09:23:40,Priya,3,
7,"               The last days in terms of smog in Olsztyn were tragic, and today I found a Twitter city guard:  https://twitter.com/SMOlsztyn  It's nice that they document what they find in people in boiler rooms, many probably do not realize what harm they do to themselves and their neighbors by burning min. chipboard.  #smog #olsztyn show the whole   +: unwanted, Zeddzik +13 others  ",2018-02-21 14:33:28,r......r,15,
8,"               #smog #quest  Well, I have very strong guesses that someone living 2 blocks away is smoking some shit. The smoke is always in camo and it smells bad. Where to report it? Police? Municipal Police? What to say? That I have ""the assumption that a guy smokes some garbage? Unfortunately, I do not even know which flat And what if it turns out that it does not smoke forbidden? I will not suffer any consequences because of this? show the whole   +: slavas, Cronox  ",2018-02-21 11:16:24,rales,2,
9,"               #smog  Is this some new propaganda with all this smog? Everywhere, they are pumping news about it .... probably someone is interested in introducing some new bans, etc ....   +: PawelW124, Cronox  ",2018-02-21 10:01:34,bronek-kielonek,2,
